Sample,red,green,blue,black,Material,Predicted_Label
1024,53.45418174916632,38.762539515720846,34.863119486477835,102.017068350532,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00269.sed,59.48180177407954,43.31088479576008,39.09622245146252,114.49776179688432,4.0,4
2021_Sep_01_SR-3501_SN19387Q4__00327.sed,59.63214922666128,43.4031699528186,39.18192073369738,114.6725060506497,4.0,4
2167,50.40127902824061,36.88887503161304,33.93051609663004,99.3387549193622,2.0,2
2021_Aug_30_SR-3501_SN19387Q4__00142.sed,47.57669037978866,34.14393109775263,30.249409394625008,87.37313738529193,1.0,1
2021_Sep_01_SR-3501_SN19387Q4__00525.sed,56.30327515513803,40.85239993242389,36.83636705124893,107.46021710310052,5.0,5
349,36.7309591631872,26.976543040888195,25.354613194775663,71.8041342295138,2.0,2
347,36.73346163031215,26.978475589249463,25.357142320828785,71.80957758153534,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00724.sed,54.13037364126656,38.78925256371305,34.33654120073567,101.15938191379348,6.0,6
2998,51.383979336839445,37.52896011574837,34.49648488515035,99.01334690303354,8.0,8
1260,56.09312006340217,40.70949234148233,36.67778821029843,106.67322506798334,8.0,8
1455,56.30863526567097,41.076830413536776,37.37800206834234,108.81518530846316,2.0,2
2021_Aug_31_SR-3501_SN19387Q4__00181.sed,51.25402990713728,37.42279244977026,34.218480055949385,96.60430128589232,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__01016.sed,47.03771686003337,34.14866182721998,31.130713751933484,86.47091081663795,6.0,6
2021_Sep_01_SR-3501_SN19387Q4__00076.sed,59.65349389698886,43.4205276421483,39.20616022778152,114.77085411600537,4.0,4
3453,55.80509158385315,40.60187017253241,36.67927478297568,107.3277032678486,9.0,9
4412,57.767695235009015,41.95748192263884,37.75152863621109,110.50914013615628,2.0,2
2251,59.60657108237284,43.383266662302496,39.1794010272505,114.66099951280754,9.0,9
1509,58.29166777266151,42.467437736622266,38.45145538629391,112.5485690896134,9.0,9
2021_Aug_31_SR-3501_SN19387Q4__00593.sed,57.641867985599376,41.94963202511752,37.865851780872205,110.602586181583,3.0,3
3178,57.00254381419404,41.37569197573311,37.20224972408307,108.7341505879124,2.0,2
4235,58.63333695541007,42.6205701964976,38.40506166055826,112.3908823259394,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00318.sed,54.41735592512156,39.395936856707095,35.935842387344664,102.27643338862724,2.0,2
2881,58.585566702337154,42.62287721858054,38.53425718377652,112.4883433923482,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00770.sed,58.27489106119447,42.328840299896136,38.21781020754291,111.34217506580362,3.0,3
2039,58.61791709498969,42.660836981788506,38.58185521421344,112.60925331856662,7.0,7
2021_Sep_01_SR-3501_SN19387Q4__00628.sed,56.484978266101706,41.019028583055146,36.930583099991445,107.9852767639068,5.0,5
33,30.206765462859234,15.110857486906257,12.501389888383024,52.5466901063786,9.0,9
486,53.323869068959766,38.8258302678679,35.24017102374755,103.96965578071624,9.0,9
2021_Aug_31_SR-3501_SN19387Q4__00079.sed,51.452473278598646,37.222366099608166,34.20229346637141,95.7963403912725,2.0,2
2289,49.62736623311574,35.9581361680938,32.256713101902406,94.65252372946546,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00388.sed,59.67961749772931,43.442440757572186,39.23031598181437,114.85428797742532,0.0,0
3483,52.21001493095673,37.88028590606253,34.05013599483446,99.80702960582434,7.0,7
174,45.66877266642122,33.064709165763794,29.931270036503825,87.91121140662663,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00818.sed,59.18568529823459,42.87073902818618,38.60300221975092,113.0424448116027,6.0,6
1844,59.63742570175658,43.399889826356855,39.17789463433776,114.71687355588725,9.0,9
2021_Aug_31_SR-3501_SN19387Q4__00372.sed,59.66201701257753,43.42935126241848,39.21931234024483,114.8344333168563,0.0,0
14,31.0675126180301,21.90194392473129,18.97754851373509,56.58024653570803,8.0,8
4922,56.892800345737065,41.44813783980068,37.61806106104014,109.41094302105768,2.0,2
1932,56.09812406743386,40.71459251581393,36.59602378390294,107.00868882611992,2.0,2
2261,57.77102976970093,42.10378780926301,38.16583425247735,111.65379958089504,9.0,9
3835,55.98615653882321,40.62263553560342,36.50244932093119,106.70818375729384,2.0,2
2884,54.17352872614053,39.527907697619966,36.12781071212011,105.35951002368358,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00269.sed,46.322618839403134,34.06231269390412,31.3190182641368,88.1648341426571,2.0,2
2213,57.50285396679524,41.92445048425465,38.04511032411352,110.89771920973354,2.0,2
4694,44.41932573002005,31.94104459128581,28.34545025439336,82.27859580807223,8.0,8
5313,58.54522640865239,42.546982366142174,38.32505731271189,112.16128886070526,7.0,7
209,45.360203449687575,32.814731676587826,29.586291447993865,87.0779509181562,9.0,9
1362,38.13547609742085,28.00760115376236,27.014728470829112,78.9696208714482,8.0,8
2021_Sep_01_SR-3501_SN19387Q4__00067.sed,59.64039174917059,43.4117685072546,39.19814022714168,114.7496437088011,4.0,4
3705,48.53206173129143,34.82626473852728,30.79242004221246,90.56151045122976,7.0,7
2021_Aug_30_SR-3501_SN19387Q4__00079.sed,58.32283472197289,42.17823428453157,37.88718096230363,110.83985091550772,1.0,1
5051,58.12403280592572,42.32646934084528,38.34162889381146,112.10446841519008,9.0,9
2911,57.79967627743142,42.10810083768501,38.1920432396293,111.10548994309252,2.0,2
2021_Aug_31_SR-3501_SN19387Q4__00328.sed,55.562007015260384,40.13281259621931,36.58225645217949,104.63195430280864,2.0,2
2563,46.648920755304246,33.671412725002085,30.433217232557,88.60453840295744,8.0,8
2021_Aug_30_SR-3501_SN19387Q4__00178.sed,52.87428421456386,38.103727805610646,34.134246579240404,98.31605278684307,1.0,1
2021_Aug_31_SR-3501_SN19387Q4__00040.sed,45.58177754656214,33.4023195377687,30.925557308058337,86.0828100232476,2.0,2
3737,29.3816687075118,20.62972631491164,17.7177637124369,52.56728519575156,8.0,8
2021_Aug_31_SR-3501_SN19387Q4__00237.sed,37.42594781004527,27.50045723601868,25.70005744332632,73.19263945856393,2.0,2
4408,57.594320057078,41.83433894948432,37.65685235908147,110.24770857263742,2.0,2
3612,53.87699008766829,39.08262973750895,35.157657242324355,102.47974775177671,8.0,8
2380,46.46440447409516,33.699668584671514,30.329400941852352,88.79941078572746,2.0,2
2205,56.6918014001275,41.31412539650688,37.51051750059557,109.50556208574554,2.0,2
2031,57.99366657994133,42.21493921649906,38.21837011384007,111.57931974903708,7.0,7
1882,51.20377623823917,37.03704249689925,33.115943471385606,95.5418688120833,8.0,8
5325,52.863037960022375,38.320641525321264,34.388722107330004,100.81896779654532,7.0,7
2021_Aug_30_SR-3501_SN19387Q4__00112.sed,59.502835885193576,43.17691320778085,38.974741273437374,114.0578931337978,1.0,1
4375,56.32118053105742,40.93940591093043,36.92367960654717,108.1036875550688,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00064.sed,59.64113400618297,43.41319607573541,39.19991986276229,114.76430431944009,4.0,4
2021_Sep_01_SR-3501_SN19387Q4__00389.sed,56.44180033031815,40.92899003231887,36.837359517224456,107.88896738094284,5.0,5
5145,54.971324212690746,39.982835333388735,36.10236238944394,105.63022471079024,9.0,9
2956,46.744272400117296,33.97122270297582,31.032386734323467,89.2944293857266,8.0,8
2021_Sep_01_SR-3501_SN19387Q4__00758.sed,58.32948444982141,42.21077197837606,37.80162686762514,110.95012215211572,6.0,6
2021_Sep_03_SR-3501_SN19387Q4__00168.sed,58.606476960081366,42.64471870497764,38.49808787438155,112.8615756373794,0.0,0
2931,57.14570556349944,41.67098620669256,37.85556719585854,110.3801248174477,2.0,2
3855,50.75525407223476,37.16842046177753,34.31309820382007,100.33423716267092,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00918.sed,55.81611566288224,39.90443418537485,35.82041412398932,103.827293718148,6.0,6
2585,48.3184444019789,34.928753938913744,31.586904678138904,91.99210969651534,8.0,8
4890,51.021941984644975,37.29869330500912,34.376415303020245,98.57426140920816,8.0,8
321,27.95060958145364,19.657109133228225,16.957003612945446,50.58742297932452,8.0,8
2040,58.64678395276697,42.68711400006144,38.616122476611295,112.70190756177564,7.0,7
844,28.91552737438992,20.34497385190236,17.526986600336514,51.82156456313403,8.0,8
2021_Aug_31_SR-3501_SN19387Q4__00091.sed,53.97413173277784,38.83868802961408,35.59188212139881,100.776529507824,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00493.sed,55.06312615729698,39.87832142657865,35.93724008139889,105.39571774353816,5.0,5
2021_Sep_01_SR-3501_SN19387Q4__00558.sed,57.46185777771851,41.6607412832315,37.59233141963018,109.41047895804851,5.0,5
2021_Aug_31_SR-3501_SN19387Q4__00142.sed,44.454817265229885,32.72538068463487,30.233065267780432,84.94187635498518,2.0,2
921,57.04020214405012,41.41119736884072,37.228969965563024,108.81076997239902,2.0,2
5356,45.6235633582246,32.823780982837945,29.38245628194913,85.97739154328755,8.0,8
1270,56.08017222827442,40.75860930897366,36.77607255996931,107.65671723335808,9.0,9
362,55.90572086805148,40.72651963582712,36.85621492424197,109.190334591295,4.0,4
4382,59.40597961440393,43.23417646111187,39.04147458484394,114.2626651139571,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00963.sed,35.275706008694925,25.825362131588985,23.788859336703226,64.60994374195192,6.0,6
2945,51.863050019163175,38.00201496181547,35.034134575523034,102.52638660467407,2.0,2
2869,58.06213201915142,42.2477713059124,38.218392513413406,111.60170656753856,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00620.sed,58.17490323494937,42.33073183762377,38.214047917669205,111.4940586293547,3.0,3
2021_Sep_01_SR-3501_SN19387Q4__01059.sed,56.6790736927405,40.68310556187176,37.05253725955659,106.62657319584191,6.0,6
2021_Sep_01_SR-3501_SN19387Q4__00494.sed,55.06535741317231,39.88034511714764,35.9391321401456,105.40149771337433,5.0,5
2186,57.22944615089504,41.68584570441081,37.783406314333234,110.03923144722783,2.0,2
1831,58.64807093525556,42.655700026288194,38.47159329335011,112.6973544568042,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00685.sed,58.59888147041463,42.47951124453706,38.324709770263226,111.83579912593926,5.0,5
3568,54.8876918412147,39.82732609212276,35.78812071842165,104.89387720193322,7.0,7
2472,45.875034383786925,32.991761459178406,29.490564731114205,86.42221639113214,8.0,8
4133,57.81548034843121,42.08262327159728,38.11861674008368,111.28606416862092,7.0,7
2021_Sep_03_SR-3501_SN19387Q4__00171.sed,58.756026785204725,42.7473151505784,38.58618981854015,113.06821518329583,0.0,0
1347,49.755407660632684,36.334629461689175,33.26583213464898,95.25633448832184,8.0,8
2021_Sep_01_SR-3501_SN19387Q4__00424.sed,57.42177020938489,41.6859944749654,37.55705842434531,109.59928583852609,5.0,5
2588,47.0264019728823,33.943317030772285,30.671365448205087,89.30886397441816,8.0,8
215,47.19424478691019,34.26782860602865,31.382005576783456,91.53308016025562,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00500.sed,55.09309422363789,39.908921127987085,35.96686726835681,105.41524570871287,5.0,5
4635,55.11811057094717,39.95470131257181,35.880166603221426,104.90168531208856,2.0,2
